"user_id","product_sku"
1,"battery-4"
1,"una-corda"
1,"kontakt-6"
2,"battery-4"
2,"komplete-kontrol-m32"
2,"kontakt-6"
3,"massive"
3,"komplete-audio-2"
3,"reaktor-6"
4,"massive"
4,"komplete-audio-2"
4,"reaktor-6"
5,"komplete-kontrol-s49-black"
5,"komplete-audio-2"
5,"komplete-12"
6,"traktor-kontrol-s4"
6,"traktor-kontrol-s8"
6,"traktor-pro-3"
7,"guitar-rig-5"
7,"komplete-kontrol-m32"
7,"kontakt-6"
8,"battery-4"
8,"komplete-kontrol-m32"
8,"kontakt-6"
9,"traktor-kontrol-s4"
9,"traktor-kontrol-z2"
9,"traktor-pro-3"
10,"guitar-rig-5"
10,"una-corda"
10,"kontakt-6"
11,"komplete-kontrol-s49-black"
11,"komplete-audio-2"
11,"komplete-12"
12,"maschine-jam"
12,"lone-forest"
12,"maschine"
13,"traktor-kontrol-s4"
13,"traktor-kontrol-s8"
13,"traktor-pro-3"
14,"massive"
14,"komplete-audio-2"
14,"reaktor-6"
15,"komplete-kontrol-s49-black"
15,"komplete-audio-2"
15,"komplete-12"
16,"traktor-kontrol-s4"
16,"traktor-kontrol-z2"
16,"traktor-pro-3"
17,"massive"
17,"komplete-audio-2"
17,"reaktor-6"
18,"massive"
18,"komplete-audio-2"
18,"reaktor-6"
19,"traktor-kontrol-s4"
19,"traktor-kontrol-s8"
19,"traktor-pro-3"
20,"massive"
20,"komplete-audio-2"
20,"reaktor-6"
21,"massive"
21,"komplete-audio-2"
21,"reaktor-6"
22,"komplete-kontrol-s61"
22,"komplete-audio-2"
22,"komplete-12"
23,"maschine-jam"
23,"lone-forest"
23,"maschine"
24,"massive"
24,"komplete-audio-2"
24,"reaktor-6"
25,"komplete-kontrol-s49-black"
25,"komplete-kontrol-s61"
25,"komplete-12"
26,"traktor-kontrol-s4"
26,"traktor-kontrol-z2"
26,"traktor-pro-3"
27,"komplete-kontrol-s49-black"
27,"komplete-audio-2"
27,"komplete-12"
28,"una-corda"
28,"komplete-kontrol-m32"
28,"kontakt-6"
29,"traktor-kontrol-s8"
29,"traktor-kontrol-z2"
29,"traktor-pro-3"
30,"komplete-kontrol-s49-black"
30,"komplete-kontrol-s61"
30,"komplete-12"
31,"massive"
31,"komplete-audio-2"
31,"reaktor-6"
32,"massive"
32,"komplete-audio-2"
32,"reaktor-6"
33,"guitar-rig-5"
33,"una-corda"
33,"kontakt-6"
34,"guitar-rig-5"
34,"battery-4"
34,"kontakt-6"
35,"traktor-kontrol-s4"
35,"traktor-kontrol-z2"
35,"traktor-pro-3"
36,"maschine-jam"
36,"lone-forest"
36,"maschine"
37,"massive"
37,"komplete-audio-2"
37,"reaktor-6"
38,"una-corda"
38,"komplete-kontrol-m32"
38,"kontakt-6"
39,"maschine-jam"
39,"massive"
39,"maschine"
40,"traktor-kontrol-s4"
40,"traktor-kontrol-s8"
40,"traktor-pro-3"
41,"maschine-jam"
41,"lone-forest"
41,"maschine"
42,"maschine-jam"
42,"lone-forest"
42,"maschine"
43,"traktor-kontrol-s4"
43,"traktor-kontrol-s8"
43,"traktor-pro-3"
44,"massive"
44,"komplete-audio-2"
44,"reaktor-6"
45,"maschine-jam"
45,"massive"
45,"maschine"
46,"maschine-jam"
46,"lone-forest"
46,"maschine"
47,"lone-forest"
47,"massive"
47,"maschine"
48,"guitar-rig-5"
48,"komplete-kontrol-m32"
48,"kontakt-6"
49,"maschine-jam"
49,"lone-forest"
49,"maschine"
50,"komplete-kontrol-s49-black"
50,"komplete-kontrol-s61"
50,"komplete-12"
51,"maschine-jam"
51,"lone-forest"
51,"maschine"
52,"una-corda"
52,"komplete-kontrol-m32"
52,"kontakt-6"
53,"lone-forest"
53,"massive"
53,"maschine"
54,"traktor-kontrol-s4"
54,"traktor-kontrol-s8"
54,"traktor-pro-3"
55,"massive"
55,"komplete-audio-2"
55,"reaktor-6"
56,"komplete-kontrol-s61"
56,"komplete-audio-2"
56,"komplete-12"
57,"traktor-kontrol-s4"
57,"traktor-kontrol-s8"
57,"traktor-pro-3"
58,"guitar-rig-5"
58,"una-corda"
58,"kontakt-6"
59,"lone-forest"
59,"massive"
59,"maschine"
60,"maschine-jam"
60,"massive"
60,"maschine"
61,"komplete-kontrol-s49-black"
61,"komplete-audio-2"
61,"komplete-12"
62,"traktor-kontrol-s8"
62,"traktor-kontrol-z2"
62,"traktor-pro-3"
63,"maschine-jam"
63,"massive"
63,"maschine"
64,"traktor-kontrol-s8"
64,"traktor-kontrol-z2"
64,"traktor-pro-3"
65,"traktor-kontrol-s8"
65,"traktor-kontrol-z2"
65,"traktor-pro-3"
66,"una-corda"
66,"komplete-kontrol-m32"
66,"kontakt-6"
67,"traktor-kontrol-s8"
67,"traktor-kontrol-z2"
67,"traktor-pro-3"
68,"battery-4"
68,"komplete-kontrol-m32"
68,"kontakt-6"
69,"komplete-kontrol-s49-black"
69,"komplete-audio-2"
69,"komplete-12"
70,"massive"
70,"komplete-audio-2"
70,"reaktor-6"
71,"traktor-kontrol-s8"
71,"traktor-kontrol-z2"
71,"traktor-pro-3"
72,"guitar-rig-5"
72,"battery-4"
72,"kontakt-6"
73,"lone-forest"
73,"massive"
73,"maschine"
74,"massive"
74,"komplete-audio-2"
74,"reaktor-6"
75,"battery-4"
75,"una-corda"
75,"kontakt-6"
76,"maschine-jam"
76,"massive"
76,"maschine"
77,"una-corda"
77,"komplete-kontrol-m32"
77,"kontakt-6"
78,"massive"
78,"komplete-audio-2"
78,"reaktor-6"
79,"komplete-kontrol-s61"
79,"komplete-audio-2"
79,"komplete-12"
80,"guitar-rig-5"
80,"komplete-kontrol-m32"
80,"kontakt-6"
81,"massive"
81,"komplete-audio-2"
81,"reaktor-6"
82,"komplete-kontrol-s49-black"
82,"komplete-audio-2"
82,"komplete-12"
83,"traktor-kontrol-s4"
83,"traktor-kontrol-z2"
83,"traktor-pro-3"
84,"lone-forest"
84,"massive"
84,"maschine"
85,"traktor-kontrol-s4"
85,"traktor-kontrol-z2"
85,"traktor-pro-3"
86,"guitar-rig-5"
86,"una-corda"
86,"kontakt-6"
87,"komplete-kontrol-s49-black"
87,"komplete-audio-2"
87,"komplete-12"
88,"maschine-jam"
88,"lone-forest"
88,"maschine"
89,"battery-4"
89,"una-corda"
89,"kontakt-6"
90,"maschine-jam"
90,"lone-forest"
90,"maschine"
91,"traktor-kontrol-s8"
91,"traktor-kontrol-z2"
91,"traktor-pro-3"
92,"lone-forest"
92,"massive"
92,"maschine"
93,"guitar-rig-5"
93,"una-corda"
93,"kontakt-6"
94,"lone-forest"
94,"massive"
94,"maschine"
95,"una-corda"
95,"komplete-kontrol-m32"
95,"kontakt-6"
96,"maschine-jam"
96,"lone-forest"
96,"maschine"
97,"massive"
97,"komplete-audio-2"
97,"reaktor-6"
98,"massive"
98,"komplete-audio-2"
98,"reaktor-6"
99,"maschine-jam"
99,"lone-forest"
99,"maschine"
100,"traktor-kontrol-s8"
100,"traktor-kontrol-z2"
100,"traktor-pro-3"
102,"maschine"
103,"traktor-pro-3"
104,"komplete-12"
105,"kontakt-6"
106,"reaktor-6"
